Percentage,TotalSpawns,Pokemon_ID,Pokemon_Name
0,04,213,1,bulbasaur
0,00,2,2,ivysaur
0,00,2,3,venusaur
0,00,19,4,charmander
0,30,1707,7,squirtle
0,04,204,8,wartortle
0,00,20,9,blastoise
0,67,3731,10,caterpie
0,08,430,11,metapod
0,01,51,12,butterfree
3,73,20922,13,weedle
0,47,2621,14,kakuna
0,06,335,15,beedrill
10,63,59547,16,pidgey
0,65,3657,17,pidgeotto
0,08,436,18,pidgeot
10,41,58323,19,rattata
0,33,1837,20,raticate
2,74,15365,21,spearow
0,08,446,22,fearow
0,03,141,23,ekans
0,00,2,24,arbok
0,07,403,25,pikachu
0,00,4,26,raichu
0,11,633,27,sandshrew
0,15,816,29,nidoran-f
0,00,18,30,nidorina
0,00,1,31,nidoqueen
0,15,863,32,nidoran-m
0,01,30,33,nidorino
0,00,1,34,nidoking
0,01,64,35,clefairy
0,04,238,37,vulpix
0,00,1,38,ninetales
0,36,2033,39,jigglypuff
0,00,12,40,wigglytuff
0,52,2888,41,zubat
0,05,255,42,golbat
0,13,716,43,oddish
0,00,28,44,gloom
0,00,1,45,vileplume
1,28,7197,46,paras
0,02,111,47,parasect
1,31,7331,48,venonat
0,02,115,49,venomoth
0,01,39,50,diglett
0,00,1,51,dugtrio
0,26,1442,52,meowth
0,00,5,53,persian
2,34,13097,54,psyduck
0,03,146,55,golduck
0,03,147,56,mankey
0,00,1,57,primeape
0,03,191,58,growlithe
2,35,13139,60,poliwag
0,07,417,61,poliwhirl
0,00,24,62,poliwrath
0,17,964,63,abra
0,00,23,64,kadabra
0,00,2,65,alakazam
0,03,162,66,machop
0,00,4,67,machoke
0,14,773,69,bellsprout
0,01,30,70,weepinbell
0,00,2,71,victreebel
0,21,1202,72,tentacool
0,04,198,73,tentacruel
0,02,98,74,geodude
0,00,3,75,graveler
0,01,75,77,ponyta
1,16,6494,79,slowpoke
0,02,106,80,slowbro
0,27,1490,81,magnemite
0,00,11,82,magneton
0,01,29,84,doduo
0,12,661,86,seel
0,00,17,87,dewgong
0,01,56,88,grimer
0,00,1,89,muk
0,44,2490,90,shellder
0,00,15,91,cloyster
0,30,1699,92,gastly
0,02,110,93,haunter
0,00,5,94,gengar
0,04,201,95,onix
0,48,2712,96,drowzee
0,01,36,97,hypno
0,92,5159,98,krabby
0,01,77,99,kingler
0,07,371,100,voltorb
0,00,2,101,electrode
0,04,229,102,exeggcute
0,06,356,104,cubone
0,00,1,105,marowak
0,00,4,106,hitmonlee
0,00,6,107,hitmonchan
0,00,24,108,lickitung
0,08,465,109,koffing
0,00,15,110,weezing
0,02,128,111,rhyhorn
0,00,5,113,chansey
0,43,2414,116,horsea
0,01,39,117,seadra
2,35,13178,118,goldeen
0,01,80,119,seaking
2,37,13283,120,staryu
0,02,100,121,starmie
0,52,2907,122,mr-mime
0,05,273,123,scyther
0,07,388,124,jynx
0,02,114,125,electabuzz
0,00,7,126,magmar
0,04,203,127,pinsir
2,36,13214,129,magikarp
0,00,12,130,gyarados
0,00,6,131,lapras
0,67,3744,133,eevee
0,00,7,134,vaporeon
0,00,2,135,jolteon
0,01,40,137,porygon
0,03,193,138,omanyte
0,04,203,140,kabuto
0,00,4,143,snorlax
0,16,880,147,dratini
0,01,55,148,dragonair
0,14,769,152,chikorita
0,00,4,153,bayleef
0,01,70,155,cyndaquil
0,00,1,156,quilava
0,02,91,158,totodile
0,00,1,159,croconaw
8,87,49706,161,sentret
0,55,3109,162,furret
4,87,27257,163,hoothoot
0,10,577,164,noctowl
4,87,27298,165,ledyba
0,46,2602,166,ledian
7,54,42247,167,spinarak
0,22,1240,168,ariados
0,03,157,169,crobat
1,23,6881,170,chinchou
0,04,205,171,lanturn
5,46,30586,177,natu
0,16,899,178,xatu
0,00,15,179,mareep
0,00,1,181,ampharos
0,85,4783,183,marill
0,03,166,184,azumarill
0,32,1806,185,sudowoodo
0,14,787,187,hoppip
0,02,98,188,skiploom
0,00,6,189,jumpluff
0,58,3255,190,aipom
0,04,246,191,sunkern
0,05,290,193,yanma
0,83,4657,194,wooper
0,01,56,195,quagsire
6,74,37735,198,murkrow
0,10,543,200,misdreavus
0,00,1,201,unown
0,01,68,202,wobbuffet
0,01,36,203,girafarig
0,01,45,204,pineco
0,00,2,205,forretress
0,16,888,206,dunsparce
0,04,205,207,gligar
0,03,145,209,snubbull
0,00,5,210,granbull
0,05,272,211,qwilfish
0,02,124,213,shuckle
0,11,638,215,sneasel
0,17,962,216,teddiursa
0,00,18,217,ursaring
0,01,32,218,slugma
0,40,2242,220,swinub
0,01,53,221,piloswine
0,57,3213,223,remoraid
0,28,1560,224,octillery
0,14,793,226,mantine
0,08,425,227,skarmory
0,00,18,228,houndour
0,00,5,231,phanpy
0,01,36,234,stantler
0,00,2,237,hitmontop
0,00,2,241,miltank
0,00,1,242,blissey
0,00,3,246,larvitar
